location,mobility_before_distancing,mobility_after_distancing,general_reduction,median_reduction,median_seasonal_reduction,num_users,num_records
New York City,85.14025998165828,58.27828723967512,31.55%,67.85%,66.05%,199287,37859511
Los Angeles,102.81683312305503,78.04995658903194,24.09%,61.65%,60.33%,149517,30143964
Chicago,63.32676054915382,45.25636505304778,28.54%,64.45%,63.54%,72225,15035508
Houston,53.717843840554984,48.74709044519782,9.25%,51.26%,50.69%,88862,20889885
Phoenix,61.53001475455781,45.39466029885693,26.22%,59.89%,59.27%,27513,5641045
Philadelphia,54.562278210325395,43.49255923032712,20.29%,63.34%,61.72%,39738,10012311
San Antonio,45.7951033501135,38.472031770904564,15.99%,56.91%,57.61%,39488,7862249
San Diego,79.52740080968096,57.42755170760057,27.79%,68.02%,66.41%,35790,6043933
Dallas,65.16282685576154,52.739429633544866,19.07%,49.99%,49.85%,36277,8500453
San Jose,59.33944150004079,44.66985940557765,24.72%,73.27%,72.98%,15801,2711362
Austin,72.86019636874819,51.25161968830388,29.66%,61.98%,61.09%,34220,6348595
Jacksonville,47.841297720781746,43.353532118606914,9.38%,30.44%,33.44%,761,100003
Fort Worth,51.92613359069564,44.43162131237056,14.43%,50.54%,50.65%,16888,3125221
Columbus,44.07244880965662,34.045698961747426,22.75%,57.48%,56.77%,23202,5156387
San Francisco,111.17708379869518,77.62365488032324,30.18%,79.98%,78.16%,42313,7553833
Charlotte,57.746953915114744,44.43439907606074,23.05%,52.85%,52.45%,21569,5209190
Indianapolis,46.24391187323685,34.788261294598925,24.77%,58.73%,58.10%,18790,3834069
Seattle,97.59429944975244,54.33977774094382,44.32%,80.72%,81.27%,24225,4715596
Denver,81.86317707462393,55.58191277747181,32.10%,66.80%,67.13%,18060,3344170
Washington,81.20539930401993,59.77026794239796,26.40%,71.51%,70.45%,45484,8601354
Boston,74.00126479413899,47.84576469968122,35.34%,70.88%,68.87%,24458,4041033
El Paso,51.1887222543555,43.513495371791564,14.99%,63.14%,63.38%,11090,2011219
Detroit,53.895568773341076,49.13162193798216,8.84%,50.04%,47.28%,11818,2909694
Nashville,73.25905247989238,51.18390486161714,30.13%,56.18%,54.26%,22153,4584408
Portland,80.14863963019705,51.68430384630899,35.51%,75.00%,73.14%,18645,4615285
Memphis,49.985677810579034,40.33274843791449,19.31%,55.37%,55.19%,13141,3102819
Oklahoma City,45.85657510877037,36.30960321606227,20.82%,53.99%,54.56%,10459,2251532
Las Vegas,82.79640316189737,68.61027746740962,17.13%,52.00%,52.27%,20191,3771375
Louisville,46.16670689801138,33.75971246565075,26.87%,55.33%,55.75%,8137,1645785
Baltimore,45.091151092982905,35.16516616893249,22.01%,59.02%,58.15%,15104,3888899
Milwaukee,52.55811048731135,40.69277639405036,22.58%,50.63%,49.77%,9354,2036007
Albuquerque,50.929407287473204,37.28630973909402,26.79%,64.32%,63.14%,7600,1399559
Tucson,54.11961136105464,43.048269361556265,20.46%,58.84%,59.94%,8965,1608101
Fresno,37.81081873616186,30.847972092213016,18.41%,50.21%,53.48%,9002,1666890
Mesa,47.75544102781646,37.88596080252027,20.67%,57.61%,56.31%,6112,1090985
Sacramento,61.86521661934516,56.22023839317888,9.12%,61.00%,59.83%,10573,2005230
Atlanta,89.91827267456712,71.14968451324197,20.87%,47.74%,46.43%,38666,8279942
Kansas City,61.14420034360315,44.235332637754816,27.65%,59.27%,58.45%,11052,2134560
Colorado Springs,63.86579806619876,46.19650033592515,27.67%,69.22%,67.08%,5768,1022810
Miami,114.27166841287323,92.72368042908792,18.86%,54.86%,54.10%,26954,2934742
Raleigh,52.24232261140031,37.050452770927976,29.08%,58.16%,58.26%,12062,2227631
Omaha,49.46635895808395,39.698795831728226,19.75%,60.59%,61.32%,9620,1514093
Long Beach,56.3270213327013,41.628751773854205,26.09%,55.53%,53.56%,11646,2368993
Virginia Beach,50.54705920683778,44.735934889366064,11.50%,62.96%,60.62%,7486,1504011
Oakland,86.64544007190737,53.5766199678415,38.17%,72.21%,72.00%,10997,2546713
Minneapolis,68.25968896380657,41.825491844693325,38.73%,64.85%,64.72%,12677,2455921
Tulsa,49.09323820914098,37.8564536261536,22.89%,59.67%,57.70%,5789,1115101
Arlington,56.52286111863425,40.75571747618722,27.90%,62.43%,62.38%,15763,3082166
Tampa,70.83458660137309,50.853567436516315,28.21%,59.53%,58.51%,11948,2150245
New Orleans,56.799241020944635,46.39816475647925,18.31%,50.70%,51.01%,19329,5234585
Wichita,39.69437209389349,31.321587710441708,21.09%,54.85%,54.25%,6121,926483
Cleveland,53.51613845062196,45.74066721467344,14.53%,48.22%,45.57%,10935,2590998
Bakersfield,39.24744728504864,38.0906152188793,2.95%,50.43%,51.11%,6320,1128872
Aurora,45.254983293734654,23.386261442227372,48.32%,72.02%,72.71%,809,83506
Anaheim,65.63278614972491,50.753181622965215,22.67%,51.43%,50.62%,9194,1197120
Honolulu,140.37804833660385,109.68163573614255,21.87%,69.32%,65.13%,13231,1459371
Santa Ana,45.56729931392869,30.84624609301635,32.31%,56.20%,56.67%,3313,535251
Riverside,44.99164940496806,40.41480364909562,10.17%,52.56%,54.19%,6691,1068379
Corpus Christi,49.00136301121093,42.9622478277483,12.32%,43.10%,43.87%,5813,922521
Lexington,42.792816238664116,30.799091502084888,28.03%,52.48%,51.56%,1327,194951
Stockton,41.49498343863438,38.50240045682257,7.21%,47.34%,48.26%,3967,764360
Henderson,72.33828362637759,59.43995484118413,17.83%,54.76%,54.72%,6098,1387904
St Paul,56.008064728793094,34.41309336310549,38.56%,70.72%,70.06%,4792,941684
St Louis,54.87397058489065,37.68039192521777,31.33%,67.84%,67.11%,8152,1652321
Cincinnati,56.23324132184565,35.2912805248552,37.24%,59.57%,60.62%,7911,1389553
Pittsburgh,53.44142509193741,39.956895972547116,25.23%,68.29%,65.84%,10097,2202073
Greensboro,36.80679211565568,35.51052067087846,3.52%,46.65%,45.85%,8052,2151944
Anchorage,109.8563896698176,73.5692809734643,33.03%,72.79%,70.35%,3966,815163
Plano,60.045107130483274,42.591630537823725,29.07%,65.80%,65.53%,4808,1012069
Lincoln,52.644452051866025,39.663228357174965,24.66%,55.12%,58.03%,6319,813520
Orlando,92.88540719838265,73.41546549131563,20.96%,51.38%,51.40%,15687,2584223
Irvine,79.82220166544774,57.490712632713134,27.98%,67.48%,67.95%,5072,836566
Newark,53.850568646539706,37.8760516219724,29.66%,54.75%,52.03%,7105,1355038
Toledo,39.45522076228878,33.527083379507296,15.02%,59.13%,59.13%,4231,853735
Durham,50.673877153662346,38.20258398831494,24.61%,57.78%,57.52%,6366,1491824
Chula Vista,56.11672086164359,47.39614053570138,15.54%,68.00%,67.17%,3313,532883
Fort Wayne,42.85312894490832,32.9136370336046,23.19%,50.16%,46.13%,3825,597495
Jersey City,58.450274555540034,43.31925068599072,25.89%,64.18%,64.18%,5304,1033159
St Petersburg,66.2327118125676,48.23110160026325,27.18%,60.43%,59.84%,4661,1064950
Laredo,38.464003958315814,35.300483551762454,8.22%,39.81%,40.70%,2523,366905
Madison,42.72889822712371,31.455885307121143,26.38%,50.71%,48.19%,1082,117732
Chandler,59.648375050634925,45.83475228877675,23.16%,59.97%,61.05%,3907,618735
