location,mobility_before_distancing,mobility_after_distancing,general_reduction,median_reduction,median_seasonal_reduction,num_users,num_records
AK,106.46708225688677,86.54256753923323,18.71%,73.40%,70.64%,6890,1202855
AL,48.273133777971495,44.489366931867686,7.84%,38.03%,37.85%,53104,10931015
AR,50.67538257186705,45.54828177459737,10.12%,46.35%,46.91%,27527,5104210
AZ,63.35529219404845,50.65689862258236,20.04%,55.10%,55.30%,92419,17481206
CA,78.57834539440701,65.54907008470343,16.58%,56.46%,55.93%,639559,122733906
CO,73.75548888542724,56.262395163001855,23.72%,59.49%,59.42%,67068,11704811
CT,45.171223538724725,36.21671434879561,19.82%,58.92%,57.72%,34818,7318184
DC,77.9556369576961,59.91811506363543,23.14%,68.28%,67.53%,37500,8158008
DE,43.3793896484549,39.018720280957936,10.05%,48.28%,49.77%,10643,2464623
FL,77.63093007293803,67.09180703836218,13.58%,47.94%,47.90%,304723,56266916
GA,66.51976111342685,59.03007285721018,11.26%,38.74%,38.89%,165803,38748684
HI,144.4878736632153,131.72002970840632,8.84%,63.58%,61.53%,25852,3330880
IA,49.247136987246286,42.033201655218676,14.65%,50.25%,51.12%,32898,5118029
ID,72.11457556174905,56.96447643425909,21.01%,43.23%,43.65%,12274,2119528
IL,55.48892303287591,46.12287895223042,16.88%,56.91%,56.60%,155037,28889344
IN,46.01637552743936,39.44779493318296,14.27%,51.65%,51.02%,79176,13348997
KS,64.77142433877185,56.75559706106372,12.38%,49.90%,49.84%,36212,5226798
KY,44.56672907540949,38.2262848773599,14.23%,49.90%,49.92%,49223,8610601
LA,46.735971746975146,46.610809025880776,0.27%,33.74%,34.17%,71146,19251215
MA,58.397283874421326,42.090331143160704,27.92%,64.51%,63.67%,87130,15855551
MD,45.18445501004707,37.075645550295704,17.95%,55.34%,55.27%,82879,18335752
ME,60.573335288923815,42.79340831693789,29.35%,54.72%,52.43%,9785,1918710
MI,56.12773742475458,47.62533359395764,15.15%,52.44%,52.75%,98624,17952363
MN,64.6625929255515,48.34402134812331,25.24%,57.64%,56.56%,54810,9506044
MO,51.79515122606037,43.62005410992857,15.78%,52.47%,52.70%,64971,11702469
MS,50.10790857540283,49.55840284486986,1.10%,34.57%,35.71%,29751,6099693
MT,70.95159030979356,65.32937101108662,7.92%,42.95%,42.92%,6969,1150494
NC,52.605562432891375,45.48314929777729,13.54%,48.59%,48.38%,125276,24719012
ND,65.79370931625968,52.48403137158999,20.23%,50.77%,50.39%,6760,938578
NE,55.037669430188075,50.14388569793489,8.89%,46.70%,46.12%,24202,3440148
NH,54.29869316608696,38.45515092528203,29.18%,60.50%,58.93%,10936,2106475
NJ,49.643592254574244,39.727686749434966,19.97%,59.36%,58.31%,102405,19506171
NM,59.046042335796436,48.683773120744284,17.55%,53.03%,53.21%,18490,3486947
NV,81.47088755496615,71.18778163733236,12.62%,47.34%,47.72%,65387,12148523
NY,71.15266476066554,54.507033319207906,23.39%,60.72%,59.67%,301865,65040504
OH,45.144607249855746,38.69254469184527,14.29%,51.10%,51.02%,147625,27756386
OK,52.44714578932851,47.43839288495562,9.55%,43.06%,44.06%,45919,7965733
OR,70.3071101481011,53.87035207547335,23.38%,61.73%,61.28%,46292,9969292
PA,54.597712665611745,44.51802024565957,18.46%,54.40%,53.74%,140983,29240789
PR,47.815508688725,48.800491769064905,-2.06%,56.05%,56.29%,11811,2067952
RI,46.523419142183506,31.64386509136386,31.98%,60.65%,59.65%,12403,2370868
SC,48.32264249271822,42.24879139563746,12.57%,43.95%,43.31%,54067,10450899
SD,67.95193585878326,58.767412407710346,13.52%,44.88%,44.02%,7403,1195376
TN,57.5467358772607,48.111407676518624,16.40%,47.96%,47.22%,90386,17596599
TX,73.41634064090144,59.296101229696035,19.23%,45.39%,45.13%,504534,98533511
UT,70.65220552855163,61.919351438422716,12.36%,56.03%,55.55%,29713,4750042
VA,58.07620573857338,48.16405351694675,17.07%,53.09%,52.80%,103559,21519905
VI,126.0965631627442,87.47984245298538,30.62%,72.04%,71.25%,1005,154896
VT,57.538102262857855,35.3389749449266,38.58%,67.10%,65.52%,4896,959099
WA,74.48279898508495,53.673565067587575,27.94%,65.14%,64.83%,84508,16458658
WI,56.003120283375246,43.88347187563456,21.64%,51.99%,51.88%,45013,8297968
WV,46.87778031338524,42.198091828166866,9.98%,45.42%,45.12%,16691,2530838
WY,72.39181029513703,71.88061623049359,0.71%,45.53%,43.81%,4141,686240
United States,65.59212577950804,54.67409608995928,16.65%,51.87%,51.49%,5173761,966262422
